,Centre_of_Interval,Mean_Correlation
169,1995-05-16,0.2350076103955987
170,1995-05-23,0.06853777090927295
171,1995-05-31,0.20081352688689894
172,1995-06-07,0.1569298610428219
173,1995-06-14,0.06430813210722651
174,1995-06-21,0.15626363731880483
175,1995-06-28,0.10733753040938473
176,1995-07-06,0.08406079841892704
177,1995-07-13,0.06286128578709874
178,1995-07-20,0.21892344422534965
179,1995-07-27,0.09923271503482521
180,1995-08-03,0.030612893529625432
181,1995-08-10,0.08942742518298288
182,1995-08-17,0.01975246943404009
183,1995-08-24,0.047843532833535755
184,1995-08-31,0.06639009934047226
185,1995-09-08,0.02029103762368158
186,1995-09-15,0.04739663643385798
187,1995-09-22,0.03653734391802814
188,1995-09-29,0.1077099990979777
189,1995-10-06,0.06450904423350422
190,1995-10-13,0.03272127466240493
191,1995-10-20,0.03179496839959985
192,1995-10-27,0.1478783192039677
193,1995-11-03,0.08520672874077571
194,1995-11-10,0.06151620468059901
195,1995-11-17,0.07112421846299989
196,1995-11-27,0.01495584500427316
197,1995-12-04,0.0486245442282759
198,1995-12-11,0.07271436029285228
199,1995-12-18,0.1640399522514401
200,1995-12-26,0.023511360623705093
201,1996-01-03,0.09341266643922287
202,1996-01-10,0.22109745338004763
203,1996-01-17,0.0362194150585379
204,1996-01-24,0.0916166834207352
205,1996-01-31,0.08637037342628957
206,1996-02-07,0.030470385980246727
207,1996-02-14,0.0817842446503259
208,1996-02-22,0.3412237615868946
209,1996-02-29,0.17956116314127493
210,1996-03-07,0.4218194592815016
211,1996-03-14,0.1802188337117445
212,1996-03-21,0.030796631718114083
213,1996-03-28,0.085867246239259
214,1996-04-04,0.24447735251436728
215,1996-04-12,0.19213248792433663
216,1996-04-19,0.0538284979084347
217,1996-04-26,0.014448735472455232
218,1996-05-03,0.1605229261901329
219,1996-05-10,0.055879359684098066
220,1996-05-17,0.036310946988865236
221,1996-05-24,0.15809066035547517
222,1996-06-03,0.16154229460233474
223,1996-06-10,0.03463424825945091
224,1996-06-17,0.012616285683451437
225,1996-06-24,0.09193782556085273
226,1996-07-01,0.0935182669239558
227,1996-07-09,0.29127148311717116
228,1996-07-16,0.3511424824789817
229,1996-07-23,0.1397086977309694
230,1996-07-30,0.20369597324258173
231,1996-08-06,0.1966276896803269
232,1996-08-13,0.12084184320930168
233,1996-08-20,0.04355466803118481
234,1996-08-27,0.16634911159163224
235,1996-09-04,0.22837426465095326
236,1996-09-11,0.09858390247926593
237,1996-09-18,0.0816267814287795
238,1996-09-25,0.010689859803633675
239,1996-10-02,0.09299158807245203
240,1996-10-09,0.14586412521669193
241,1996-10-16,0.037180754847394505
242,1996-10-23,0.017889996614460463
243,1996-10-30,0.0788607861087279
