,Centre_of_Interval,Mean_Correlation
61,1992-04-29,0.15378318740636926
62,1992-04-30,0.15360852930653524
63,1992-05-01,0.15360215763883056
64,1992-05-04,0.1483630150690269
65,1992-05-05,0.15020634263284288
66,1992-05-06,0.1484144859976858
67,1992-05-07,0.12850805125006592
68,1992-05-08,0.12285141843181463
69,1992-05-11,0.11309334876706016
70,1992-05-12,0.11005666319504842
71,1992-05-13,0.10986519219577662
72,1992-05-14,0.096824374061206
73,1992-05-15,0.09296726619681969
74,1992-05-18,0.11154152925777898
75,1992-05-19,0.10566607381863692
76,1992-05-20,0.10746864366067156
77,1992-05-21,0.1079370527442875
78,1992-05-22,0.10850501634353078
79,1992-05-26,0.10912195182980314
80,1992-05-27,0.10801366321392653
81,1992-05-28,0.10877155305908003
82,1992-05-29,0.1205037192393335
83,1992-06-01,0.11242844833985197
84,1992-06-02,0.1219265395424408
85,1992-06-03,0.11655485311248376
86,1992-06-04,0.1156262722199689
87,1992-06-05,0.11985144677568166
88,1992-06-08,0.11883234701507318
89,1992-06-09,0.12590865915061533
90,1992-06-10,0.12329239035724035
91,1992-06-11,0.12349896114602388
92,1992-06-12,0.12588618099416535
93,1992-06-15,0.1204051441952477
94,1992-06-16,0.11576935297596576
95,1992-06-17,0.11695941658921764
96,1992-06-18,0.1155084368603402
97,1992-06-19,0.11607459050007922
98,1992-06-22,0.11510433417330275
99,1992-06-23,0.11448639782707952
100,1992-06-24,0.11341289862234963
101,1992-06-25,0.11320016815243258
102,1992-06-26,0.11933632509749474
103,1992-06-29,0.12636300165927114
104,1992-06-30,0.127084286840472
105,1992-07-01,0.1274174118233418
106,1992-07-02,0.1279273150401131
107,1992-07-06,0.1275024672911747
108,1992-07-07,0.13099060672443166
109,1992-07-08,0.13366008592250603
110,1992-07-09,0.12714207324132384
111,1992-07-10,0.12240225308138529
112,1992-07-13,0.12322617471746676
113,1992-07-14,0.1229171487308148
114,1992-07-15,0.12364512103542186
115,1992-07-16,0.12280140374252885
116,1992-07-17,0.10276582121243094
117,1992-07-20,0.10026906856047241
118,1992-07-21,0.10331448523325241
119,1992-07-22,0.10422928155202528
120,1992-07-23,0.10873569645060874
121,1992-07-24,0.1251629485044997
122,1992-07-27,0.12553888821560935
123,1992-07-28,0.12690096597245284
124,1992-07-29,0.11359466769563936
125,1992-07-30,0.11406154043454189
126,1992-07-31,0.10363591639404401
127,1992-08-03,0.10535276514583479
128,1992-08-04,0.10834825939206436
129,1992-08-05,0.10166229651308162
130,1992-08-06,0.103692483124345
131,1992-08-07,0.09723272144328574
132,1992-08-10,0.09809844343989722
133,1992-08-11,0.10345387213932587
134,1992-08-12,0.10095991734676796
135,1992-08-13,0.11565196914138619
136,1992-08-14,0.12960017523566578
137,1992-08-17,0.1265530717015875
138,1992-08-18,0.1250734589612266
139,1992-08-19,0.12508431089361136
140,1992-08-20,0.12413724935804883
141,1992-08-21,0.1330108998681973
142,1992-08-24,0.13335879698992775
143,1992-08-25,0.13488310829357075
144,1992-08-26,0.1277572163819633
145,1992-08-27,0.11856330375717411
146,1992-08-28,0.11752825868213465
147,1992-08-31,0.1199714967924675
148,1992-09-01,0.12003598278964552
149,1992-09-02,0.1336700630671588
150,1992-09-03,0.13676341293357352
151,1992-09-04,0.13472452229308057
152,1992-09-08,0.13476386559028578
153,1992-09-09,0.13600819666033998
154,1992-09-10,0.14227808956107907
155,1992-09-11,0.15057366691135526
156,1992-09-14,0.15195470247588394
157,1992-09-15,0.1509514371346774
158,1992-09-16,0.1492995376765815
159,1992-09-17,0.15204782310320505
160,1992-09-18,0.15690331459234164
161,1992-09-21,0.15615872910948922
162,1992-09-22,0.15389239233339344
163,1992-09-23,0.1402414224834963
164,1992-09-24,0.1391314255225696
165,1992-09-25,0.13998165897064
166,1992-09-28,0.13958305244898975
167,1992-09-29,0.14043797913152917
168,1992-09-30,0.14067924960176642
169,1992-10-01,0.14126289014070031
170,1992-10-02,0.14399608161259417
171,1992-10-05,0.14562283194891001
172,1992-10-06,0.1460479892808895
173,1992-10-07,0.14245563994833407
174,1992-10-08,0.14166153934341083
175,1992-10-09,0.13737166380128968
